callId;cpuId;processId;timeStamp;utilization;step
Long;String;String;Long;Double;Integer
0;cpu-agg;21476@kitt;102;0.15735878686754673;3
0;cpu-0;21476@kitt;102;0.15309126594700687;3
0;cpu-1;21476@kitt;102;0.1462217860647694;3
0;cpu-2;21476@kitt;102;0.13769974353915962;3
0;cpu-3;21476@kitt;102;0.17393011385944246;3
0;cpu-4;21476@kitt;102;0.09189508972589233;3
0;cpu-5;21476@kitt;102;0.3671951458211;3
0;cpu-6;21476@kitt;102;0.12524461839530335;3
0;cpu-7;21476@kitt;102;0.06301369863013698;3
0;cpu-agg;21476@kitt;203;0.024691358024691357;3
0;cpu-0;21476@kitt;203;0.0;3
0;cpu-1;21476@kitt;203;0.0;3
0;cpu-2;21476@kitt;203;0.0;3
0;cpu-3;21476@kitt;203;0.0;3
0;cpu-4;21476@kitt;203;0.0;3
0;cpu-5;21476@kitt;203;0.0;3
0;cpu-6;21476@kitt;203;0.0;3
0;cpu-7;21476@kitt;203;0.0;3
0;cpu-agg;21476@kitt;303;0.0625;3
0;cpu-0;21476@kitt;303;0.09090909090909091;3
0;cpu-1;21476@kitt;303;0.1;3
0;cpu-2;21476@kitt;303;0.16666666666666666;3
0;cpu-3;21476@kitt;303;0.2;3
0;cpu-4;21476@kitt;303;0.0;3
0;cpu-5;21476@kitt;303;0.0;3
0;cpu-6;21476@kitt;303;0.1;3
0;cpu-7;21476@kitt;303;0.0;3
0;cpu-agg;21476@kitt;403;0.025;3
0;cpu-0;21476@kitt;403;0.09090909090909091;3
0;cpu-1;21476@kitt;403;0.1;3
0;cpu-2;21476@kitt;403;0.0;3
0;cpu-3;21476@kitt;403;0.09090909090909091;3
0;cpu-4;21476@kitt;403;0.0;3
0;cpu-5;21476@kitt;403;0.0;3
0;cpu-6;21476@kitt;403;0.09090909090909091;3
0;cpu-7;21476@kitt;403;0.0;3
0;cpu-agg;21476@kitt;504;0.09876543209876543;3
0;cpu-0;21476@kitt;504;0.0;3
0;cpu-1;21476@kitt;504;0.4;3
