callId;operation;processId;responseTime;timeStamp;numUsers
Long;String;String;Long;Long;Integer
18309;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;47;10
18317;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;166;81;10
18318;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;278;10
18316;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;275;72;10
18319;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;425;10
18315;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;377;70;10
18321;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;545;10
18314;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;478;70;10
18323;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;596;10
18313;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;578;70;10
18325;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;738;10
18312;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;690;58;10
18327;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;813;10
18311;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;792;56;10
18329;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;939;10
18310;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;897;51;10
18330;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;955;10
18309;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;1001;47;10
18334;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;1147;10
18331;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;151;997;10
18335;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;1206;10
18328;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;364;884;10
18336;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;1265;10
18326;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;610;739;10
18340;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;1447;10
