callId;operation;processId;responseTime;timeStamp;numUsers
Long;String;String;Long;Long;Integer
2235;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;44;7
2240;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;186;58;7
2242;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;256;7
2241;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;286;58;7
2243;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;408;7
2239;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;387;57;7
2245;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;472;7
2238;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;488;56;7
2247;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;630;7
2237;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;589;55;7
2249;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;694;7
2236;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;695;50;7
2250;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;772;7
2248;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;177;668;7
2253;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;940;7
2246;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;337;608;7
2255;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;995;7
