callId;operation;processId;responseTime;timeStamp;numUsers
Long;String;String;Long;Long;Integer
2275;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;20;10
2284;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;161;59;10
2285;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;315;10
2283;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;265;55;10
2286;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;382;10
2282;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;369;52;10
2287;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;423;10
2281;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;475;46;10
2290;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;592;10
2280;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;583;38;10
2292;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;715;10
2279;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;686;35;10
2293;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;751;10
2278;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;787;34;10
2297;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;917;10
2277;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;896;25;10
