callId;cpuId;processId;timeStamp;utilization;step
Long;String;String;Long;Double;Integer
0;cpu-7;12071@kitt;1411;0.0;3
0;cpu-agg;12071@kitt;1511;0.06172839506172839;3
0;cpu-0;12071@kitt;1511;0.0;3
0;cpu-1;12071@kitt;1511;0.0;3
0;cpu-2;12071@kitt;1511;0.0;3
0;cpu-3;12071@kitt;1511;0.16666666666666666;3
0;cpu-4;12071@kitt;1511;0.2;3
0;cpu-5;12071@kitt;1511;0.1;3
0;cpu-6;12071@kitt;1511;0.0;3
0;cpu-7;12071@kitt;1511;0.0;3
0;cpu-agg;12071@kitt;1612;0.1125;3
0;cpu-0;12071@kitt;1612;0.2;3
0;cpu-1;12071@kitt;1612;0.1;3
0;cpu-2;12071@kitt;1612;0.09090909090909091;3
0;cpu-3;12071@kitt;1612;0.1;3
0;cpu-4;12071@kitt;1612;0.2727272727272727;3
0;cpu-5;12071@kitt;1612;0.1;3
0;cpu-6;12071@kitt;1612;0.18181818181818182;3
0;cpu-7;12071@kitt;1612;0.0;3
0;cpu-agg;12071@kitt;1712;0.05128205128205128;3
0;cpu-0;12071@kitt;1712;0.1;3
0;cpu-1;12071@kitt;1712;0.1;3
0;cpu-2;12071@kitt;1712;0.0;3
0;cpu-3;12071@kitt;1712;0.0;3
0;cpu-4;12071@kitt;1712;0.0;3
0;cpu-5;12071@kitt;1712;0.1;3
0;cpu-6;12071@kitt;1712;0.0;3
0;cpu-7;12071@kitt;1712;0.0;3
0;cpu-agg;12071@kitt;1813;0.075;3
0;cpu-0;12071@kitt;1813;0.1;3
0;cpu-1;12071@kitt;1813;0.1;3
0;cpu-2;12071@kitt;1813;0.1;3
0;cpu-3;12071@kitt;1813;0.0;3
0;cpu-4;12071@kitt;1813;0.18181818181818182;3
0;cpu-5;12071@kitt;1813;0.1;3
0;cpu-6;12071@kitt;1813;0.0;3
0;cpu-7;12071@kitt;1813;0.0;3
0;cpu-agg;12071@kitt;1913;0.0875;3
0;cpu-0;12071@kitt;1913;0.18181818181818182;3
0;cpu-1;12071@kitt;1913;0.18181818181818182;3
0;cpu-2;12071@kitt;1913;0.18181818181818182;3
0;cpu-3;12071@kitt;1913;0.0;3
0;cpu-4;12071@kitt;1913;0.0;3
0;cpu-5;12071@kitt;1913;0.0;3
0;cpu-6;12071@kitt;1913;0.09090909090909091;3
0;cpu-7;12071@kitt;1913;0.0;3
0;cpu-agg;12071@kitt;2014;0.0975609756097561;3
0;cpu-0;12071@kitt;2014;0.1;3
0;cpu-1;12071@kitt;2014;0.2;3
0;cpu-2;12071@kitt;2014;0.2;3
0;cpu-3;12071@kitt;2014;0.1;3
0;cpu-4;12071@kitt;2014;0.0;3
0;cpu-5;12071@kitt;2014;0.18181818181818182;3
0;cpu-6;12071@kitt;2014;0.0;3
0;cpu-7;12071@kitt;2014;0.0;3
0;cpu-agg;12071@kitt;2114;0.07407407407407407;3
0;cpu-0;12071@kitt;2114;0.1;3
0;cpu-1;12071@kitt;2114;0.09090909090909091;3
0;cpu-2;12071@kitt;2114;0.2;3
0;cpu-3;12071@kitt;2114;0.0;3
0;cpu-4;12071@kitt;2114;0.09090909090909091;3
0;cpu-5;12071@kitt;2114;0.1;3
0;cpu-6;12071@kitt;2114;0.0;3
0;cpu-7;12071@kitt;2114;0.09090909090909091;3
0;cpu-agg;12071@kitt;2215;0.0625;3
0;cpu-0;12071@kitt;2215;0.09090909090909091;3
0;cpu-1;12071@kitt;2215;0.0;3
0;cpu-2;12071@kitt;2215;0.09090909090909091;3
0;cpu-3;12071@kitt;2215;0.2;3
0;cpu-4;12071@kitt;2215;0.0;3
0;cpu-5;12071@kitt;2215;0.1111111111111111;3
0;cpu-6;12071@kitt;2215;0.0;3
0;cpu-7;12071@kitt;2215;0.0;3
0;cpu-agg;12071@kitt;2315;0.0379746835443038;3
0;cpu-0;12071@kitt;2315;0.1;3
0;cpu-1;12071@kitt;2315;0.0;3
0;cpu-2;12071@kitt;2315;0.0;3
0;cpu-3;12071@kitt;2315;0.0;3
0;cpu-4;12071@kitt;2315;0.09090909090909091;3
0;cpu-5;12071@kitt;2315;0.1;3
0;cpu-6;12071@kitt;2315;0.0;3
0;cpu-7;12071@kitt;2315;0.0;3
0;cpu-agg;12071@kitt;2416;0.0875;3
0;cpu-0;12071@kitt;2416;0.0;3
0;cpu-1;12071@kitt;2416;0.0;3
0;cpu-2;12071@kitt;2416;0.2;3
0;cpu-3;12071@kitt;2416;0.09090909090909091;3
0;cpu-4;12071@kitt;2416;0.1;3
0;cpu-5;12071@kitt;2416;0.0;3
0;cpu-6;12071@kitt;2416;0.0;3
0;cpu-7;12071@kitt;2416;0.0;3
0;cpu-agg;12071@kitt;2516;0.0759493670886076;3
0;cpu-0;12071@kitt;2516;0.2;3
0;cpu-1;12071@kitt;2516;0.1;3
0;cpu-2;12071@kitt;2516;0.2;3
0;cpu-3;12071@kitt;2516;0.1111111111111111;3
0;cpu-4;12071@kitt;2516;0.1;3
0;cpu-5;12071@kitt;2516;0.1;3
0;cpu-6;12071@kitt;2516;0.0;3
0;cpu-7;12071@kitt;2516;0.0;3
0;cpu-agg;12071@kitt;2617;0.1;3
0;cpu-0;12071@kitt;2617;0.1;3
0;cpu-1;12071@kitt;2617;0.1;3
0;cpu-2;12071@kitt;2617;0.2;3
0;cpu-3;12071@kitt;2617;0.09090909090909091;3
0;cpu-4;12071@kitt;2617;0.0;3
0;cpu-5;12071@kitt;2617;0.18181818181818182;3
0;cpu-6;12071@kitt;2617;0.0;3
0;cpu-7;12071@kitt;2617;0.09090909090909091;3
0;cpu-agg;12071@kitt;2717;0.04938271604938271;3
0;cpu-0;12071@kitt;2717;0.0;3
0;cpu-1;12071@kitt;2717;0.0;3
0;cpu-2;12071@kitt;2717;0.0;3
0;cpu-3;12071@kitt;2717;0.1;3
0;cpu-4;12071@kitt;2717;0.09090909090909091;3
0;cpu-5;12071@kitt;2717;0.0;3
0;cpu-6;12071@kitt;2717;0.0;3
0;cpu-7;12071@kitt;2717;0.0;3
0;cpu-agg;12071@kitt;2818;0.05128205128205128;3
0;cpu-0;12071@kitt;2818;0.1;3
0;cpu-1;12071@kitt;2818;0.1;3
0;cpu-2;12071@kitt;2818;0.1111111111111111;3
0;cpu-3;12071@kitt;2818;0.09090909090909091;3
0;cpu-4;12071@kitt;2818;0.0;3
0;cpu-5;12071@kitt;2818;0.09090909090909091;3
0;cpu-6;12071@kitt;2818;0.0;3
0;cpu-7;12071@kitt;2818;0.0;3
0;cpu-agg;12071@kitt;2918;0.06172839506172839;3
0;cpu-0;12071@kitt;2918;0.1;3
0;cpu-1;12071@kitt;2918;0.18181818181818182;3
0;cpu-2;12071@kitt;2918;0.1;3
0;cpu-3;12071@kitt;2918;0.1;3
0;cpu-4;12071@kitt;2918;0.0;3
0;cpu-5;12071@kitt;2918;0.0;3
0;cpu-6;12071@kitt;2918;0.0;3
0;cpu-7;12071@kitt;2918;0.0;3
