callId;operation;processId;responseTime;timeStamp;numUsers
Long;String;String;Long;Long;Integer
1;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;64;1
2;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;306;1
3;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;471;1
4;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;771;1
5;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;967;1
6;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;1219;1
7;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;1385;1
8;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;1631;1
9;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;101;1746;1
10;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;2042;1
11;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;2212;1
12;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;2511;1
13;org.spotter.demo.app.DummyApp.testOLB();12071@kitt;100;2636;1
14;org.spotter.demo.app.DummyApp.testNoProblem();12071@kitt;0;2929;1
